,Song,Artist
0,A Bar Song (Tipsy),Shaboozey
1,I Had Some Help,Post Malone Featuring Morgan Wallen
2,Not Like Us,Kendrick Lamar
3,Espresso,Sabrina Carpenter
4,Birds Of A Feather,Billie Eilish
5,Million Dollar Baby,Tommy Richman
6,"Good Luck, Babe!",Chappell Roan
7,Please Please Please,Sabrina Carpenter
8,Lose Control,Teddy Swims
9,Too Sweet,Hozier
10,Beautiful Things,Benson Boone
11,Cowgirls,Morgan Wallen Featuring ERNEST
12,Ain't No Love In Oklahoma,Luke Combs
13,Pink Skies,Zach Bryan
14,Lies Lies Lies,Morgan Wallen
15,Hot To Go!,Chappell Roan
16,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
17,Austin,Dasha
18,Miles On It,Marshmello & Kane Brown
19,Guess,Charli xcx Featuring Billie Eilish
20,Like That,"Future, Metro Boomin & Kendrick Lamar"
21,Saturn,SZA
22,Big Dawgs,Hanumankind X Kalmi
23,Houdini,Eminem
24,Kehlani,Jordan Adetunji
25,Pink Pony Club,Chappell Roan
26,28,Zach Bryan
27,It's Up,"Drake, Young Thug & 21 Savage"
28,Who,Jimin
29,Pour Me A Drink,Post Malone Featuring Blake Shelton
30,Wanna Be,GloRilla & Megan Thee Stallion
31,I Am Not Okay,Jelly Roll
32,I Can Do It With A Broken Heart,Taylor Swift
33,Si Antes Te Hubiera Conocido,Karol G
34,Stick Season,Noah Kahan
35,Guy For That,Post Malone Featuring Luke Combs
36,Mamushi,Megan Thee Stallion Featuring Yuki Chiba
37,Slow It Down,Benson Boone
38,Bulletproof,Nate Smith
39,High Road,Koe Wetzel & Jessie Murph
40,Red Wine Supernova,Chappell Roan
41,We Can't Be Friends (Wait For Your Love),Ariana Grande
42,TGIF,GloRilla
43,Stargazing,Myles Smith
44,Feather,Sabrina Carpenter
45,360,Charli xcx
46,Dirt Cheap,Cody Johnson
47,The Door,Teddy Swims
48,Fortnight,Taylor Swift Featuring Post Malone
49,You Look Like You Love Me,Ella Langley Featuring Riley Green
50,Apple,Charli xcx
51,Wildflower,Billie Eilish
52,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen
53,Lunch,Billie Eilish
54,Gata Only,FloyyMenor X Cris Mj
55,One Of Wun,Gunna
56,BAND4BAND,Central Cee & Lil Baby
57,Nights Like This,The Kid LAROI
58,Casual,Chappell Roan
59,Lonely Road,mgk & Jelly Roll
60,Chevrolet,Dustin Lynch Featuring Jelly Roll
61,Help Me,Real Boston Richey
62,Blue Green Red,Drake
63,Hang Tight Honey,Lainey Wilson
64,The Boy Is Mine,Ariana Grande
65,Femininomenon,Chappell Roan
66,Think I'm In Love With You,Chris Stapleton
67,Field Trip,"Â¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti, Kodak Black & Don Toliver"
68,Chihiro,Billie Eilish
69,Devil Is A Lie,Tommy Richman
70,Wind Up Missin' You,Tucker Wetmore
71,Nasty,Tinashe
72,Nel,Fuerza Regida
73,"I Love You, I'm Sorry",Gracie Abrams
74,La Patrulla,Peso Pluma & Neton Vega
75,Si No Quieres No,Luis R Conriquez x Neton Vega
76,Beautiful As You,Thomas Rhett
77,Belong Together,Mark Ambor
78,American Nights,Zach Bryan
79,U My Everything,Sexyy Red & Drake
80,My Kink Is Karma,Chappell Roan
81,Illusion,Dua Lipa
82,Evergreen,Richy Mitch And The Coal Miners
83,Why Why Why,Shawn Mendes
84,Housekeeping Knows,Drake Featuring Latto
85,Am I Okay?,Megan Moroney
86,Sweet Dreams,Koe Wetzel
87,"Love You, Miss You, Mean It",Luke Bryan
88,Double Life,Pharrell Williams
89,Girls,The Kid LAROI
90,Holy Smokes,Bailey Zimmerman
91,Big Mama,Latto
92,She's Somebody's Daughter (Reimagined),Drew Baldridge
93,Did It First,Ice Spice & Central Cee
94,Euphoria,Kendrick Lamar
95,Alibi,"Sevdaliza, Pabllo Vittar & Yseult"
96,Residuals,Chris Brown
97,Wine Into Whiskey,Tucker Wetmore
98,Okay,JT
99,Parking Lot,Mustard & Travis Scott
